index,station_complex_id,number_of_riderships,lower_bound,upper_bound
2023-06-03,611.0,101596.0,,
2023-06-04,611.0,84966.0,,
2023-06-05,611.0,123143.0,,
2023-06-06,611.0,146728.0,,
2023-06-07,611.0,144220.0,,
2023-06-08,611.0,126125.0,,
2023-06-09,611.0,126522.0,,
2023-06-10,611.0,104595.0,,
2023-06-11,611.0,82932.0,,
2023-06-12,611.0,121293.0,,
2023-06-13,611.0,147412.0,,
2023-06-14,611.0,150143.0,,
2023-06-15,611.0,146946.0,,
2023-06-16,611.0,120628.0,,
2023-06-17,611.0,105177.0,,
2023-06-18,611.0,85092.0,,
2023-06-19,611.0,98333.0,,
2023-06-20,611.0,140504.0,,
2023-06-21,611.0,149866.0,,
2023-06-22,611.0,141459.0,,
2023-06-23,611.0,126339.0,,
2023-06-24,611.0,100373.0,,
2023-06-25,611.0,86674.0,,
2023-06-26,611.0,120524.0,,
2023-06-27,611.0,143614.0,,
2023-06-28,611.0,145633.0,,
2023-06-29,611.0,142299.0,,
2023-06-30,611.0,123775.0,,
2023-07-01,611.0,102696.0,,
2023-07-02,611.0,84528.0,,
2023-07-03,611.0,104348.0,,
2023-07-04,611.0,74626.0,,
2023-07-05,611.0,133817.0,,
2023-07-06,611.0,138719.0,,
2023-07-07,611.0,129145.0,,
2023-07-08,611.0,97672.0,,
2023-07-09,611.0,79180.0,,
2023-07-10,611.0,121246.0,,
2023-07-11,611.0,142712.0,,
2023-07-12,611.0,147752.0,,
2023-07-13,611.0,142385.0,,
2023-07-14,611.0,126705.0,,
2023-07-15,611.0,102105.0,,
2023-07-16,611.0,75283.0,,
2023-07-17,611.0,125192.0,,
2023-07-18,611.0,142188.0,,
2023-07-19,611.0,146587.0,,
2023-07-20,611.0,145546.0,,
2023-07-21,611.0,129613.0,,
2023-07-22,611.0,111023.0,,
2023-07-23,611.0,90174.0,,
2023-07-24,611.0,125078.0,,
2023-07-25,611.0,145424.0,,
2023-07-26,611.0,151146.0,,
2023-07-27,611.0,142787.0,,
2023-07-28,611.0,127072.0,,
2023-07-29,611.0,102439.0,,
2023-07-30,611.0,89191.0,,
2023-07-31,611.0,123029.0,,
2023-08-01,611.0,139926.0,,
2023-08-02,611.0,142886.0,,
2023-08-03,611.0,141346.0,,
2023-08-04,611.0,123932.0,,
2023-08-05,611.0,103933.0,,
2023-08-06,611.0,83544.0,,
2023-08-07,611.0,119460.0,,
2023-08-08,611.0,138043.0,,
2023-08-09,611.0,142891.0,,
2023-08-10,611.0,136513.0,,
2023-08-11,611.0,127467.0,,
2023-08-12,611.0,105013.0,,
2023-08-13,611.0,91357.0,,
2023-08-14,611.0,120095.0,,
2023-08-15,611.0,134039.0,,
2023-08-16,611.0,139400.0,,
2023-08-17,611.0,134608.0,,
2023-08-18,611.0,122131.0,,
2023-08-19,611.0,103265.0,,
2023-08-20,611.0,83445.0,,
2023-08-21,611.0,115485.0,,
2023-08-22,611.0,130876.0,,
2023-08-23,611.0,134880.0,,
2023-08-24,611.0,130169.0,,
2023-08-25,611.0,116523.0,,
2023-08-26,611.0,98340.0,,
2023-08-27,611.0,86248.0,,
2023-08-28,611.0,117613.0,,
2023-08-29,611.0,130583.0,,
2023-08-30,611.0,133624.0,,
2023-08-31,611.0,131178.0,,
2023-09-01,611.0,122292.0,,
2023-09-02,611.0,100923.0,,
2023-09-03,611.0,89799.0,,
2023-09-04,611.0,75332.0,,
2023-09-05,611.0,131551.0,,
2023-09-06,611.0,140533.0,,
2023-09-07,611.0,141057.0,,
2023-09-08,611.0,129980.0,,
2023-09-09,611.0,101683.0,,
2023-09-10,611.0,81127.0,,
2023-09-11,611.0,127026.0,,
2023-09-12,611.0,146919.0,,
2023-09-13,611.0,145501.0,,
2023-09-14,611.0,144688.0,,
2023-09-15,611.0,132243.0,,
2023-09-16,611.0,101435.0,,
2023-09-17,611.0,83171.0,,
2023-09-18,611.0,125036.0,,
2023-09-19,611.0,145948.0,,
2023-09-20,611.0,148514.0,,
2023-09-21,611.0,147114.0,,
2023-09-22,611.0,133727.0,,
2023-09-23,611.0,91671.0,,
2023-09-24,611.0,75787.0,,
2023-09-25,611.0,110601.0,,
2023-09-26,611.0,144844.0,,
2023-09-27,611.0,147968.0,,
2023-09-28,611.0,145809.0,,
2023-09-29,611.0,102227.0,,
2023-09-30,611.0,87225.0,,
2023-10-01,611.0,82585.0,,
2023-10-02,611.0,124648.0,,
2023-10-03,611.0,142977.0,,
2023-10-04,611.0,144225.0,,
2023-10-05,611.0,144042.0,,
2023-10-06,611.0,130598.0,,
2023-10-07,611.0,97614.0,,
2023-10-08,611.0,92486.0,,
2023-10-09,611.0,108110.0,,
2023-10-10,611.0,143190.0,,
2023-10-11,611.0,148033.0,,
2023-10-12,611.0,146591.0,,
2023-10-13,611.0,123133.0,,
2023-10-14,611.0,94936.0,,
2023-10-15,611.0,86395.0,,
